Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 79.0.3945.79,,2019-12-13 07:38:55,2019-12-13 07:44:17,5m - 21.487s,PASSED
,,,,,,
Test Cases/deleteandupload3,Chrome 79.0.3945.79,,2019-12-13 07:38:56,2019-12-13 07:40:56,1m - 59.824s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-13 07:38:57,2019-12-13 07:39:37,39.389s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:39:37,2019-12-13 07:39:37,0.192s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:39:37,2019-12-13 07:39:37,0.129s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:39:37,2019-12-13 07:39:37,0.057s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-13 07:39:37,2019-12-13 07:39:38,1.168s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:39:38,2019-12-13 07:39:39,0.954s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:39:39,2019-12-13 07:39:40,0.739s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:39:40,2019-12-13 07:39:40,0.081s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-13 07:39:40,2019-12-13 07:39:54,13.977s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:39:54,2019-12-13 07:39:55,0.774s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:39:55,2019-12-13 07:40:00,5.054s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-13 07:40:00,2019-12-13 07:40:01,0.743s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:40:01,2019-12-13 07:40:01,0.530s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:40:01,2019-12-13 07:40:01,0.088s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:40:01,2019-12-13 07:40:11,10.004s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:40:11,2019-12-13 07:40:15,4.309s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:40:15,2019-12-13 07:40:16,0.483s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:40:16,2019-12-13 07:40:16,0.399s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:40:16,2019-12-13 07:40:31,15.005s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:40:31,2019-12-13 07:40:32,0.584s,PASSED
uploadFile,Chrome 79.0.3945.79,,2019-12-13 07:40:32,2019-12-13 07:40:33,0.981s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:40:33,2019-12-13 07:40:43,10.003s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:40:43,2019-12-13 07:40:43,0.004s,NOT_RUN
setText,Chrome 79.0.3945.79,,2019-12-13 07:40:43,2019-12-13 07:40:43,0.004s,NOT_RUN
click,Chrome 79.0.3945.79,,2019-12-13 07:40:43,2019-12-13 07:40:43,0.004s,NOT_RUN
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:40:43,2019-12-13 07:40:43,0.355s,PASSED
refresh,Chrome 79.0.3945.79,,2019-12-13 07:40:43,2019-12-13 07:40:43,0.070s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:40:43,2019-12-13 07:40:53,10.004s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:40:53,2019-12-13 07:40:54,0.690s,PASSED
closeBrowser,Chrome 79.0.3945.79,,2019-12-13 07:40:54,2019-12-13 07:40:56,1.978s,PASSED
,,,,,,
Test Cases/deleteandupload2,Chrome 79.0.3945.79,,2019-12-13 07:40:56,2019-12-13 07:42:25,1m - 28.634s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-13 07:40:57,2019-12-13 07:41:11,14.616s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:41:11,2019-12-13 07:41:11,0.173s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:41:11,2019-12-13 07:41:12,0.130s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:41:12,2019-12-13 07:41:12,0.058s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-13 07:41:12,2019-12-13 07:41:13,1.169s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:41:13,2019-12-13 07:41:13,0.403s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:41:13,2019-12-13 07:41:14,0.707s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:41:14,2019-12-13 07:41:14,0.079s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-13 07:41:14,2019-12-13 07:41:19,5.503s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:41:19,2019-12-13 07:41:20,0.714s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:41:20,2019-12-13 07:41:25,5.003s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-13 07:41:25,2019-12-13 07:41:26,0.734s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:41:26,2019-12-13 07:41:26,0.228s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:41:26,2019-12-13 07:41:26,0.046s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:41:26,2019-12-13 07:41:36,10.003s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:41:36,2019-12-13 07:41:39,2.996s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:41:39,2019-12-13 07:41:40,0.752s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:41:40,2019-12-13 07:41:40,0.373s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:41:40,2019-12-13 07:41:55,15.004s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:41:55,2019-12-13 07:41:56,0.368s,PASSED
uploadFile,Chrome 79.0.3945.79,,2019-12-13 07:41:56,2019-12-13 07:41:56,0.635s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:41:56,2019-12-13 07:42:06,10.005s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:42:06,2019-12-13 07:42:06,0.005s,NOT_RUN
setText,Chrome 79.0.3945.79,,2019-12-13 07:42:06,2019-12-13 07:42:06,0.004s,NOT_RUN
click,Chrome 79.0.3945.79,,2019-12-13 07:42:06,2019-12-13 07:42:06,0.003s,NOT_RUN
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:42:06,2019-12-13 07:42:07,0.525s,PASSED
refresh,Chrome 79.0.3945.79,,2019-12-13 07:42:07,2019-12-13 07:42:09,2.414s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:42:09,2019-12-13 07:42:19,10.003s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:42:19,2019-12-13 07:42:20,0.395s,PASSED
closeBrowser,Chrome 79.0.3945.79,,2019-12-13 07:42:20,2019-12-13 07:42:25,4.885s,PASSED
,,,,,,
Test Cases/deleteandupload1,Chrome 79.0.3945.79,,2019-12-13 07:42:25,2019-12-13 07:44:17,1m - 51.847s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-13 07:42:26,2019-12-13 07:42:51,24.503s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:42:51,2019-12-13 07:42:51,0.145s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:42:51,2019-12-13 07:42:51,0.112s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:42:51,2019-12-13 07:42:51,0.033s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-13 07:42:51,2019-12-13 07:42:52,1.154s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:42:52,2019-12-13 07:42:53,0.357s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:42:53,2019-12-13 07:42:53,0.822s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:42:53,2019-12-13 07:42:53,0.033s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-13 07:42:53,2019-12-13 07:43:16,22.708s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:43:16,2019-12-13 07:43:17,0.628s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:43:17,2019-12-13 07:43:22,5.003s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-13 07:43:22,2019-12-13 07:43:23,1.223s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:43:23,2019-12-13 07:43:23,0.381s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-13 07:43:23,2019-12-13 07:43:24,0.106s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:43:24,2019-12-13 07:43:34,10.005s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:43:34,2019-12-13 07:43:37,3.887s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:43:37,2019-12-13 07:43:38,0.639s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:43:38,2019-12-13 07:43:39,0.485s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:43:39,2019-12-13 07:43:54,15.004s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:43:54,2019-12-13 07:43:54,0.372s,PASSED
uploadFile,Chrome 79.0.3945.79,,2019-12-13 07:43:54,2019-12-13 07:43:55,0.969s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:43:55,2019-12-13 07:44:05,10.005s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:44:05,2019-12-13 07:44:05,0.002s,NOT_RUN
setText,Chrome 79.0.3945.79,,2019-12-13 07:44:05,2019-12-13 07:44:05,0.001s,NOT_RUN
click,Chrome 79.0.3945.79,,2019-12-13 07:44:05,2019-12-13 07:44:05,0.001s,NOT_RUN
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:44:05,2019-12-13 07:44:05,0.395s,PASSED
refresh,Chrome 79.0.3945.79,,2019-12-13 07:44:05,2019-12-13 07:44:05,0.057s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:44:05,2019-12-13 07:44:15,10.002s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:44:15,2019-12-13 07:44:16,0.395s,PASSED
closeBrowser,Chrome 79.0.3945.79,,2019-12-13 07:44:16,2019-12-13 07:44:17,0.902s,PASSED
