Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SCRSankranthi,Chrome 79.0.3945.79,,2019-12-13 07:49:04,2019-12-13 07:49:41,37.169s,PASSED
,,,,,,
Test Cases/SCRCheck,Chrome 79.0.3945.79,,2019-12-13 07:49:05,2019-12-13 07:49:41,36.326s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-13 07:49:06,2019-12-13 07:49:27,21.029s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-13 07:49:27,2019-12-13 07:49:28,1.232s,PASSED
mouseOver,Chrome 79.0.3945.79,,2019-12-13 07:49:28,2019-12-13 07:49:28,0.259s,PASSED
click,Chrome 79.0.3945.79,,2019-12-13 07:49:28,2019-12-13 07:49:30,1.582s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-13 07:49:30,2019-12-13 07:49:40,10.049s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-13 07:49:40,2019-12-13 07:49:40,0.551s,PASSED
closeBrowser,Chrome 79.0.3945.79,,2019-12-13 07:49:40,2019-12-13 07:49:41,0.860s,PASSED
